Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_0103900,parasite-infected erythrocyte surface protein,Non - Mutable in CDS,0.128,-3.12
PF3D7_0104000,thrombospondin-related sporozoite protein,Mutable in CDS,0.989,-0.714
PF3D7_0104100,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.119,-3.035
PF3D7_0104200,StAR-related lipid transfer protein,Non - Mutable in CDS,0.28,-3.379
PF3D7_0104300,"ubiquitin carboxyl-terminal hydrolase 1, putative",Non - Mutable in CDS,0.292,-2.606
PF3D7_0104400,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Mutable in CDS,0.993,-2.596
PF3D7_0104500,"conserved protein, unknown function",Mutable in CDS,0.998,-0.62
PF3D7_0104600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.09
PF3D7_0104700,"major facilitator superfamily-related transporter, putative",Mutable in CDS,0.999,-2.672
PF3D7_0104800,"novel putative transporter 1, putative",Mutable in CDS,1,0.781
PF3D7_0105100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.051
PF3D7_0105200,"RAP protein, putative",Mutable in CDS,0.8,-2.879
PF3D7_0105300,cyclase-associated protein,Non - Mutable in CDS,0.141,-3.448
PF3D7_0105400.1,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.929,-2.495
PF3D7_0105500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.161,-2.717
PF3D7_0105600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.042
PF3D7_0105700,asparagine-rich antigen Pfa35-2,Mutable in CDS,1,-1.851
PF3D7_0105800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.184,-2.713
PF3D7_0105900,"DNA binding protein, putative",Mutable in CDS,0.886,-2.507
PF3D7_0106000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.188,-2.706
PF3D7_0106100,"V-type proton ATPase subunit C, putative",Non - Mutable in CDS,0.122,-2.999
PF3D7_0106200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.391
PF3D7_0106300,calcium-transporting ATPase,Non - Mutable in CDS,0.131,-2.942
PF3D7_0106400,"pre-rRNA-processing protein TSR2, putative",Non - Mutable in CDS,0.154,0
PF3D7_0106500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.464,-2.487
PF3D7_0106600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.964,-2.138
PF3D7_0106700,small ribosomal subunit assembling AARP2 protein,Non - Mutable in CDS,0.137,-2.771
PF3D7_0106800,ras-related protein Rab-5C,Non - Mutable in CDS,0.264,-2.504
PF3D7_0106900,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",Non - Mutable in CDS,0.124,-2.887
PF3D7_0107000.1,centrin-1,Non - Mutable in CDS,0.132,-2.849
PF3D7_0107100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.199,-3.365
PF3D7_0107200,"carbon catabolite repressor protein 4, putative",Mutable in CDS,1,0.564
PF3D7_0107300,"probable protein, unknown function",Mutable in CDS,1,-2.108
PF3D7_0107400,"conserved Apicomplexan protein, unknown function",Non - Mutable in CDS,1,-2.433
PF3D7_0107500,lipid/sterol:H+ symporter,Non - Mutable in CDS,0.261,-2.596
PF3D7_0107600,"serine/threonine protein kinase, putative",Mutable in CDS,1,-2.835
PF3D7_0107700,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.479,-1.084
PF3D7_0107800,double-strand break repair protein MRE11,Mutable in CDS,1,-0.289
PF3D7_0107900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.124,-3.186
PF3D7_0108000,"proteasome subunit beta type-3, putative",Non - Mutable in CDS,0.123,-3.212
PF3D7_0108100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.133,-2.879
PF3D7_0108300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.611
PF3D7_0108400.1,"mitochondrial carrier protein, putative",Mutable in CDS,1,-2.123
PF3D7_0108500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,0
PF3D7_0108600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.19
PF3D7_0108700,"secreted ookinete protein, putative",Mutable in CDS,1,0.113
PF3D7_0108800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.143,-3.102
PF3D7_0109000,"photosensitized INA-labeled protein PHIL1, putative",Non - Mutable in CDS,0.122,-3.121
PF3D7_0109100,LCCL domain-containing protein,Mutable in CDS,1,-2.243
PF3D7_0109200,"cleavage and polyadenylation specificity factor subunit 5, putative",Non - Mutable in CDS,0.125,-3.001
PF3D7_0109300,"fatty acid elongation protein, GNS1/SUR4 family, putative",Non - Mutable in CDS,0.168,-2.779
PF3D7_0109400,"tubulin-specific chaperone a, putative",Non - Mutable in CDS,0.24,-3.364
PF3D7_0109500,"N-acetyltransferase, putative",Non - Mutable in CDS,0.659,-2.369
PF3D7_0109600,"cold-shock protein, putative",Non - Mutable in CDS,0.247,-3.269
PF3D7_0109700,"rRNA biogenesis protein RRP36, putative",Non - Mutable in CDS,0.157,-2.586
PF3D7_0109800,phenylalanine--tRNA ligase alpha subunit,Non - Mutable in CDS,0.143,-3.147
PF3D7_0110000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.016
PF3D7_0110100,"selenocysteine-specific elongation factor selB homologue, putative",Mutable in CDS,1,-2.697
PF3D7_0110200,"FAD-linked sulfhydryl oxidase ERV1, putative",Non - Mutable in CDS,0.208,-2.71
PF3D7_0110400,"DNA-directed RNA polymerase II subunit RPB9, putative",Non - Mutable in CDS,0.486,-2.733
PF3D7_0110500,"bromodomain protein, putative",Mutable in CDS,1,-2.257
PF3D7_0110600,phosphatidylinositol-4-phosphate 5-kinase,Non - Mutable in CDS,0.2,-2.765
PF3D7_0110700,"chromatin assembly factor 1 protein WD40 domain, putative",Non - Mutable in CDS,0.157,-3.013
PF3D7_0110800,"transcription initiation factor TFIIB, putative",Non - Mutable in CDS,0.199,-3.59
PF3D7_0110900,adenylate kinase-like protein 1,Non - Mutable in CDS,0.12,-3.014
PF3D7_0111000,"kinesin-8, putative",Mutable in CDS,1,-2.224
PF3D7_0111200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.339,0
PF3D7_0111300,"replication factor c protein, putative",Mutable in CDS,0.812,-2.874
PF3D7_0111400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-3.209
PF3D7_0111500,"UMP-CMP kinase, putative",Non - Mutable in CDS,0.12,-3.031
PF3D7_0111600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.435,-3.525
PF3D7_0111700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.916,-3.898
PF3D7_0111800,"eukaryotic translation initiation factor 4E, putative",Mutable in CDS,1,0.607
PF3D7_0111900,"conserved protein, unknown function",Non - Mutable in CDS,0.121,0
PF3D7_0112000,TatD-like deoxyribonuclease,Non - Mutable in CDS,0.121,-3.108
PF3D7_0112100,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.754,-2.189
PF3D7_0112200,multidrug resistance-associated protein 1,Mutable in CDS,1,-1.001
PF3D7_0112800,"Plasmodium exported protein (hyp11), unknown function",Mutable in CDS,0.559,-2.078
PF3D7_0112900,"Plasmodium exported protein, unknown function",Mutable in CDS,0.995,-2.003
PF3D7_0113000,glutamic acid-rich protein,Mutable in CDS,1,-2.159
PF3D7_0113100,surface-associated interspersed protein 1.1 (SURFIN 1.1),Mutable in CDS,1,0.981
PF3D7_0113200,"Plasmodium exported protein, unknown function",Mutable in CDS,1,-1.287
PF3D7_0113300,"Plasmodium exported protein (hyp1), unknown function",Non - Mutable in CDS,0.952,-2.159
PF3D7_0113400,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.987,-2.317
PF3D7_0113600,"surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene",Mutable in CDS,1,-1.467
PF3D7_0113700,"heat shock protein 40, type II",Mutable in CDS,1,-0.674
PF3D7_0113800,"DBL containing protein, unknown function",Mutable in CDS,1,-2.076
PF3D7_0113900,"Plasmodium exported protein (hyp8), unknown function",Non - Mutable in CDS,0.256,-2.691
PF3D7_0114000,exported protein family 1,Mutable in CDS,1,-1.456
PF3D7_0114100,Pfmc-2TM Maurer's cleft two transmembrane protein,Mutable in CDS,1,0.315
PF3D7_0114200,exported protein family 3,Mutable in CDS,1,-1.199
PF3D7_0114300,"exported protein family 4, pseudogene",Non - Mutable in CDS,0.476,-3.206
PF3D7_0114400,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.782,-2.196
PF3D7_0114500,"Plasmodium exported protein (hyp10), unknown function",Non - Mutable in CDS,0.184,-1.528
PF3D7_0114600,"stevor, pseudogene",Non - Mutable in CDS,0.199,-2.528
PF3D7_0114700,rifin,Non - Mutable in CDS,0.987,-2.356
PF3D7_0114800,"Plasmodium exported protein (hyp7), unknown function",Non - Mutable in CDS,0.119,-3.122
PF3D7_0114900,"Plasmodium exported protein, unknown function, pseudogene",Non - Mutable in CDS,0.982,-2.415
PF3D7_0115000,surface-associated interspersed protein 1.3 (SURFIN 1.3),Mutable in CDS,0.999,-2.039
PF3D7_0115100,"Plasmodium exported protein (PHISTa), unknown function",Mutable in CDS,0.338,-1.693
PF3D7_0115200,rifin,Non - Mutable in CDS,0.754,-2.168
PF3D7_0115300,rifin,Non - Mutable in CDS,1,0
PF3D7_0115400,stevor,Mutable in CDS,1,-2.412
PF3D7_0115500,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",Non - Mutable in CDS,0.816,-2.37
PF3D7_0115600,rifin,Non - Mutable in CDS,0.936,-2.159
PF3D7_0200100,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-2.061
PF3D7_0200200,rifin,Non - Mutable in CDS,0.565,-2.598
PF3D7_0200300,"erythrocyte membrane protein 1 (PfEMP1), exon 2",Non - Mutable in CDS,0.864,-2.259
PF3D7_0200400,stevor,Mutable in CDS,1,-1.003
PF3D7_0200500,rifin,Non - Mutable in CDS,0.561,-2.232
PF3D7_0200600,rifin,Non - Mutable in CDS,0.408,-2.486
PF3D7_0200700,rifin,Non - Mutable in CDS,0.243,-2.818
PF3D7_0200800,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.687,-2.03
PF3D7_0200900,"stevor, pseudogene",Non - Mutable in CDS,0.357,-2.467
PF3D7_0201000,rifin,Non - Mutable in CDS,0.438,-2.425
PF3D7_0201100,"Plasmodium exported protein, unknown function, fragment",Non - Mutable in CDS,0.128,0
PF3D7_0201200,rifin,Mutable in CDS,1,0.778
PF3D7_0201300,stevor,Non - Mutable in CDS,0.853,-2.121
PF3D7_0201400,"Plasmodium exported protein (hyp10), unknown function",Non - Mutable in CDS,0.673,-2.309
PF3D7_0201500,"Plasmodium exported protein (hyp9), unknown function",Mutable in CDS,0.196,-2.845
PF3D7_0201600,PHISTb domain-containing RESA-like protein 1,Mutable in CDS,1,-2.037
PF3D7_0201700,"DnaJ protein, putative",Non - Mutable in CDS,0.214,-2.696
PF3D7_0201800,knob associated heat shock protein 40,Mutable in CDS,1,-2.465
PF3D7_0201900,erythrocyte membrane protein 3,Mutable in CDS,1,-0.927
PF3D7_0202000,knob-associated histidine-rich protein,Non - Mutable in CDS,1,-1.359
PF3D7_0202100,liver stage associated protein 2,Mutable in CDS,0.383,-2.163
PF3D7_0202200,EMP1-trafficking protein,Mutable in CDS,0.65,-3.049
PF3D7_0202300,"Plasmodium exported protein (hyp11), unknown function",Non - Mutable in CDS,0.121,-2.952
PF3D7_0202400,"gamete antigen 27/25, putative",Mutable in CDS,1,-2.252
PF3D7_0202500,early transcribed membrane protein 2,Non - Mutable in CDS,1,0
PF3D7_0202600.1,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.377,-2.621
PF3D7_0202700,octaprenyl pyrophosphate synthase,Non - Mutable in CDS,0.144,-3.162
PF3D7_0202800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.725,-2.454
PF3D7_0202900,"palmitoyltransferase DHHC12, putative",Non - Mutable in CDS,0.995,-2.624
PF3D7_0203000,"repetitive organellar protein, putative",Mutable in CDS,1,-1.887
PF3D7_0203100,"protein kinase, putative",Mutable in CDS,1,-1.603
PF3D7_0203200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.971,-2.198
PF3D7_0203300,"ERCC1 nucleotide excision repair protein, putative",Non - Mutable in CDS,0.156,-3.229
PF3D7_0203400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.998,-2.427
PF3D7_0203600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.81,-1.784
PF3D7_0203700,"protein MAK16, putative",Non - Mutable in CDS,0.391,-2.522
PF3D7_0203800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.195
PF3D7_0203900,"5'-3' exonuclease, N-terminal resolvase-like domain, putative",Non - Mutable in CDS,0.315,-2.642
PF3D7_0204000,"condensin-2 complex subunit H2, putative",Mutable in CDS,1,-2.227
PF3D7_0204100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.146,-2.863
PF3D7_0204200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.689,-2.589
PF3D7_0204300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.318
PF3D7_0204400,"dynein light chain, putative",Non - Mutable in CDS,0.987,0
PF3D7_0204500,aspartate transaminase,Mutable in CDS,0.736,0.461
PF3D7_0204600,"5'-3' exonuclease, putative",Mutable in CDS,1,-1.594
PF3D7_0204700,hexose transporter,Non - Mutable in CDS,0.294,-2.474
PF3D7_0204800,"3'-5' exonuclease, putative",Mutable in CDS,0.997,-2.714
PF3D7_0204900,"ubiE/COQ5 methyltransferase, putative",Non - Mutable in CDS,0.321,-2.529
PF3D7_0205000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.036
PF3D7_0205100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.742
PF3D7_0205200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.971
PF3D7_0205300,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.999,-1.296
PF3D7_0205400,"PCI domain-containing protein, putative",Non - Mutable in CDS,0.131,-2.907
PF3D7_0205500,"DNA-directed RNA polymerase II 16 kDa subunit, putative",Non - Mutable in CDS,0.409,-3.578
PF3D7_0205600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.149,-3.187
PF3D7_0205700.1,"RNA-binding protein, putative",Mutable in CDS,0.298,-3.275
PF3D7_0205800,"PH domain-containing protein, putative",Non - Mutable in CDS,0.243,-3.728
PF3D7_0205900,"26S proteasome regulatory subunit RPN1, putative",Non - Mutable in CDS,0.127,-3.218
PF3D7_0206000,"DNA repair protein RAD2, putative",Mutable in CDS,1,-2.445
PF3D7_0206100,cysteine desulfuration protein SufE,Non - Mutable in CDS,0.272,-3.284
PF3D7_0206200,pantothenate transporter,Mutable in CDS,1,-2.212
PF3D7_0206300,"pentafunctional AROM polypeptide, putative, pseudogene",Mutable in CDS,1,-0.769
PF3D7_0206500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.886,-2.766
PF3D7_0206600,"DNA-directed RNA polymerase III subunit RPC10, putative",Non - Mutable in CDS,1,0
PF3D7_0206700,adenylosuccinate lyase,Non - Mutable in CDS,0.121,-2.994
PF3D7_0206800,merozoite surface protein 2,Non - Mutable in CDS,0.988,-2.005
PF3D7_0206900.1,merozoite surface protein 5,Non - Mutable in CDS,0.988,-2.098
PF3D7_0207000,merozoite surface protein 4,Non - Mutable in CDS,0.251,-2.64
PF3D7_0207100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.608
PF3D7_0207200,"iron-sulfur assembly protein, putative",Non - Mutable in CDS,0.195,-3.514
PF3D7_0207300,serine repeat antigen 8,Mutable in CDS,0.998,-2.593
PF3D7_0207400,serine repeat antigen 7,Mutable in CDS,1,-1.186
PF3D7_0207500,serine repeat antigen 6,Non - Mutable in CDS,0.252,-2.761
PF3D7_0207600,serine repeat antigen 5,Non - Mutable in CDS,0.2,-2.737
PF3D7_0207700,serine repeat antigen 4,Mutable in CDS,1,0.947
PF3D7_0207800,serine repeat antigen 3,Mutable in CDS,1,-2.533
PF3D7_0207900,serine repeat antigen 2,Mutable in CDS,1,-0.99
PF3D7_0208000,serine repeat antigen 1,Mutable in CDS,0.98,-2.772
PF3D7_0208100.1,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.081
PF3D7_0208200,"KRR1 small subunit processome component, putative",Non - Mutable in CDS,0.372,-2.666
PF3D7_0208300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3.013
PF3D7_0208400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.355
PF3D7_0208500,acyl carrier protein,Non - Mutable in CDS,0.231,-3.465
PF3D7_0208600,ribosome-recycling factor,Non - Mutable in CDS,0.183,-2.794
PF3D7_0208700.1,"conserved Plasmodium protein, unknown function, unspecified product",Mutable in CDS,0.872,-1.746
PF3D7_0208800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.156,-2.83
PF3D7_0208900,6-cysteine protein,Mutable in CDS,1,-1.524
PF3D7_0209000,6-cysteine protein,Mutable in CDS,1,-0.851
PF3D7_0209100,"phospholipase A2, putative",Mutable in CDS,1,-1.821
PF3D7_0209200,"3'exoribonuclease, putative",Non - Mutable in CDS,0.262,-2.615
PF3D7_0209300,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Non - Mutable in CDS,0.135,-2.98
PF3D7_0209400,"conserved protein, unknown function",Mutable in CDS,0.993,-2.677
PF3D7_0209500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.47
PF3D7_0209600,"transporter, putative",Non - Mutable in CDS,0.136,-2.867
PF3D7_0209700,"RING zinc finger protein, putative",Non - Mutable in CDS,0.128,-2.864
PF3D7_0209800,ATP-dependent RNA helicase UAP56,Non - Mutable in CDS,0.257,-2.606
PF3D7_0210000,secretory complex protein 61 gamma subunit,Non - Mutable in CDS,0.121,0
PF3D7_0210100.1,"60S ribosomal protein L37ae, putative",Non - Mutable in CDS,0.126,-3.711
PF3D7_0210200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.859
PF3D7_0210300,"monocarboxylate transporter, putative",Non - Mutable in CDS,0.12,-2.961
PF3D7_0210400,"50S ribosomal protein L33, putative",Non - Mutable in CDS,0.251,-3.272
PF3D7_0210500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3.092
PF3D7_0210600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.234,-2.616
PF3D7_0210700,"syntaxin, Qa-SNARE family",Non - Mutable in CDS,0.21,-3.264
PF3D7_0210800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.394,-3.606
PF3D7_0210900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.822,-1.794
PF3D7_0211100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.519
PF3D7_0211200,ras-related protein Rab-5A,Non - Mutable in CDS,0.385,-2.515
PF3D7_0211300,"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative",Non - Mutable in CDS,0.122,-3.074
PF3D7_0211400,beta-ketoacyl-ACP synthase III,Mutable in CDS,0.855,-2.982
PF3D7_0211500,"GAF domain-related protein, putative",Mutable in CDS,1,-1.135
PF3D7_0211600,"UDP-N-acetylglucosamine transferase subunit ALG14, putative",Non - Mutable in CDS,0.12,-3.101
PF3D7_0211700,"tyrosine kinase-like protein, putative",Mutable in CDS,1,-2.366
PF3D7_0211800,asparagine--tRNA ligase,Non - Mutable in CDS,0.184,-2.765
PF3D7_0211900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.143,-3.129
PF3D7_0212000,"GDP-fructose:GMP antiporter, putative",Non - Mutable in CDS,0.138,-3.212
PF3D7_0212100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.234,-2.686
PF3D7_0212200,"mitochondrial ribosomal protein L12 precursor, putative",Non - Mutable in CDS,0.125,-2.93
PF3D7_0212300,"peptide chain release factor subunit 1, putative",Non - Mutable in CDS,0.122,-3.662
PF3D7_0212400,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.91,-2.893
PF3D7_0212500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.048
PF3D7_0212600,secreted protein with altered thrombospondin repeat domain,Non - Mutable in CDS,0.966,-2.553
PF3D7_0212700,SRR1-like protein,Non - Mutable in CDS,0.139,-3.01
PF3D7_0212800,"multidrug efflux pump, putative",Mutable in CDS,1,-2.497
PF3D7_0212900,"leucyl/phenylalanyl-tRNA--protein transferase, putative",Mutable in CDS,0.999,-0.947
PF3D7_0213000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.135,-3.027
PF3D7_0213100,protein SIS1,Non - Mutable in CDS,0.238,-2.617
PF3D7_0213200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.141,-3.225
PF3D7_0213300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.124,0
PF3D7_0213400,protein kinase 7,Mutable in CDS,1,0.959
PF3D7_0213500,"tetratricopeptide repeat protein, putative",Mutable in CDS,1,-1.843
PF3D7_0213600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.387
PF3D7_0213700,"conserved protein, unknown function",Non - Mutable in CDS,0.976,-2.087
PF3D7_0213800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.384
PF3D7_0213900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.184,-2.747
PF3D7_0214000,T-complex protein 1 subunit theta,Non - Mutable in CDS,0.182,-3.405
PF3D7_0214100,protein transport protein SEC31,Non - Mutable in CDS,0.209,-2.744
PF3D7_0214200,"mitochondrial ribosomal protein L13 precursor, putative",Non - Mutable in CDS,0.255,0
PF3D7_0214300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.214
PF3D7_0214400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.227,-2.768
PF3D7_0214500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.055
PF3D7_0214600,"serine/threonine protein kinase, putative",Mutable in CDS,1,-2.581
PF3D7_0214700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.378,-2.578
PF3D7_0214800,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.123,-3.051
PF3D7_0214900,rhoptry neck protein 6,Non - Mutable in CDS,0.937,-2.316
PF3D7_0215000,acyl-CoA synthetase,Mutable in CDS,1,0.232
PF3D7_0215100,"RING zinc finger protein, putative",Non - Mutable in CDS,0.363,0
PF3D7_0215200,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.746,-2.274
PF3D7_0215300,acyl-CoA synthetase,Mutable in CDS,1,-1.796
PF3D7_0215400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.789
PF3D7_0215500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.99
PF3D7_0215600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.539,-2.467
PF3D7_0215700,"DNA-directed RNA polymerase II subunit RPB2, putative",Non - Mutable in CDS,0.166,-2.783
PF3D7_0215800,origin recognition complex subunit 5,Non - Mutable in CDS,0.128,-2.848
PF3D7_0215900,"palmitoyltransferase DHHC11, putative",Mutable in CDS,0.995,-2.633
PF3D7_0216000,"DEAD/DEAH box helicase, putative",Mutable in CDS,1,-0.504
PF3D7_0216100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.094
PF3D7_0216200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.335,-2.444
PF3D7_0216300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.129,-2.93
PF3D7_0216400,"vacuolar protein sorting-associated protein 45, putative",Non - Mutable in CDS,0.122,-2.861
PF3D7_0216500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.293
PF3D7_0216600,MtN3-like protein,Non - Mutable in CDS,0.178,-2.821
